CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-3.98275+5.75614*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.2617+-4.74891*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.31382+-0.367249*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.72529+-5.15192*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.386318+1.32911*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "-0.644197+1.59797*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "0.992665+-0.0887352*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.30169+-2.44069*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "11.004+-10.1969*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.762744822685"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, -15, 0, "1.46222732155"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.909833281513"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.81174+0.723399*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.55051+-1.0922*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.619824+2.6948*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.4898+-2.20841*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.117433+1.54084*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.03227+0.0212732*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.46193+-1.72691*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.93109+6.88014*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.79952+-5.31374*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.40758+-0.43922*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.14699+-4.49498*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.524938+1.51979*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.2312+-0.311144*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.57841+2.58402*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.73572+-2.82889*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.8898+-10.033*x"
3, iterativefit, up_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.813112176234"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, -15, 0, "1.61061481679"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.999618369446"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.927747+0.530024*x"
